14:03:21 : PLCDI Error  :Sockethasbeendisconnected
14:13:55 : PLCDI Error  :Nosocketerror
14:13:56 : PLCDI Error  :Nosocketerror
14:13:57 : PLCDI Error  :Nosocketerror
14:13:58 : PLCDI Error  :Nosocketerror
14:13:59 : PLCDI Error  :Nosocketerror
14:14:00 : PLCDI Error  :Nosocketerror
14:14:01 : PLCDI Error  :Nosocketerror
14:14:02 : PLCDI Error  :Nosocketerror
14:14:03 : PLCDI Error  :Nosocketerror
14:14:04 : PLCDI Error  :Nosocketerror
14:14:05 : PLCDI Error  :Nosocketerror
14:14:06 : PLCDI Error  :Nosocketerror
14:14:07 : PLCDI Error  :Nosocketerror
14:14:08 : PLCDI Error  :Nosocketerror
14:14:09 : PLCDI Error  :Nosocketerror
14:14:10 : PLCDI Error  :Nosocketerror
14:14:11 : PLCDI Error  :Nosocketerror
14:14:12 : PLCDI Error  :Nosocketerror
14:14:13 : PLCDI Error  :Receivingerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:13 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:14 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:15 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
14:14:16 : PLCDI Error  :Transmissionerror
